Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Night Bookstore,Chapter 62,"Aug 27,20",5,180.0,manganelo.com,0.38872766494750977,https://manganelo.com/manga/uc922559,"Adventure,Comedy,Drama,Fantasy,Martial arts,Shoujo",Ongoing,4.44,https://avt.mkklcdnv6.com/48/s/20-1585386349.jpg
Oh No! I’Ve Swapped Bodies With An Anti-Fan,Chapter 31,"Aug 27,20",5,180.0,manganelo.com,0.3907146453857422,https://manganelo.com/manga/at919446,"Romance,Shoujo,Webtoons",Ongoing,4.29,https://avt.mkklcdnv6.com/32/j/18-1583498338.jpg
The Duchess' 50 Tea Recipes,Chapter 68,"Aug 27,20",5,180.0,manganelo.com,0.3229067325592041,https://manganelo.com/manga/ug919900,"Romance,Webtoons,Isekai",Ongoing,4.89,https://avt.mkklcdnv6.com/49/f/18-1583499022.jpg
Collecting The Divine,Chapter 103,"Aug 27,20",5,180.0,manganelo.com,0.5456514358520508,https://manganelo.com/manga/hd919620,"Action,Historical,Shounen",Ongoing,4.53,https://avt.mkklcdnv6.com/38/s/18-1583498596.jpg
Immortal Demon Dad,Chapter 33,"Aug 27,20",5,180.0,manganelo.com,0.3766050338745117,https://manganelo.com/manga/ef922956,"Action,Comedy",Ongoing,4.41,https://avt.mkklcdnv6.com/15/d/21-1589773039.jpg
I Have Nine Female Disciples,Chapter 42,"Aug 27,20",5,180.0,manganelo.com,0.4547605514526367,https://manganelo.com/manga/an923112,"Action,Comedy,Fantasy,Harem,Romance,Supernatural,Webtoons",Ongoing,4.41,https://avt.mkklcdnv6.com/22/b/21-1590949844.jpg
Together With Shinsun,Chapter 5,"Aug 27,20",5,180.0,manganelo.com,0.6143300533294678,https://manganelo.com/manga/yn923556,"Adventure,Comedy,Drama,Fantasy,Mystery,Romance",Ongoing,4.68,https://avt.mkklcdnv6.com/40/k/21-1596037807.jpg
Don’T Call Me Lady!,Chapter 2,"Aug 27,20",5,180.0,manganelo.com,0.6661839485168457,https://manganelo.com/manga/ef923820,"Fantasy,Romance",Ongoing,4.27,https://avt.mkklcdnv6.com/50/u/21-1597856498.jpg
A Village Protected By A Dragon,Chapter 12,"Aug 27,20",5,180.0,manganelo.com,0.6161024570465088,https://manganelo.com/manga/ba923282,"Fantasy,Romance,Shoujo ai,Slice of life,Webtoons",Ongoing,4.36,https://avt.mkklcdnv6.com/29/k/21-1592413028.jpg
The Flower Of Vampires,Chapter 9,"Aug 27,20",5,180.0,manganelo.com,0.6200833320617676,https://manganelo.com/manga/fl922202,"Drama,Fantasy,Romance",Ongoing,4.59,https://avt.mkklcdnv6.com/34/z/20-1583502378.jpg
